race_Id,year,round,circuit_Id,race_name,date,time,timestamp
1,2009,1,1,Australian Grand Prix,2009-03-29,06:00:00,2025-03-26 20:53:56.531855
2,2009,2,2,Malaysian Grand Prix,2009-04-05,09:00:00,2025-03-26 20:53:56.531855
3,2009,3,17,Chinese Grand Prix,2009-04-19,07:00:00,2025-03-26 20:53:56.531855
4,2009,4,3,Bahrain Grand Prix,2009-04-26,12:00:00,2025-03-26 20:53:56.531855
5,2009,5,4,Spanish Grand Prix,2009-05-10,12:00:00,2025-03-26 20:53:56.531855
6,2009,6,6,Monaco Grand Prix,2009-05-24,12:00:00,2025-03-26 20:53:56.531855
7,2009,7,5,Turkish Grand Prix,2009-06-07,12:00:00,2025-03-26 20:53:56.531855
8,2009,8,9,British Grand Prix,2009-06-21,12:00:00,2025-03-26 20:53:56.531855
9,2009,9,20,German Grand Prix,2009-07-12,12:00:00,2025-03-26 20:53:56.531855
10,2009,10,11,Hungarian Grand Prix,2009-07-26,12:00:00,2025-03-26 20:53:56.531855
11,2009,11,12,European Grand Prix,2009-08-23,12:00:00,2025-03-26 20:53:56.531855
12,2009,12,13,Belgian Grand Prix,2009-08-30,12:00:00,2025-03-26 20:53:56.531855
13,2009,13,14,Italian Grand Prix,2009-09-13,12:00:00,2025-03-26 20:53:56.531855
14,2009,14,15,Singapore Grand Prix,2009-09-27,12:00:00,2025-03-26 20:53:56.531855
15,2009,15,22,Japanese Grand Prix,2009-10-04,05:00:00,2025-03-26 20:53:56.531855
16,2009,16,18,Brazilian Grand Prix,2009-10-18,16:00:00,2025-03-26 20:53:56.531855
17,2009,17,24,Abu Dhabi Grand Prix,2009-11-01,11:00:00,2025-03-26 20:53:56.531855
18,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,2025-03-26 20:53:56.531855
19,2008,2,2,Malaysian Grand Prix,2008-03-23,07:00:00,2025-03-26 20:53:56.531855
20,2008,3,3,Bahrain Grand Prix,2008-04-06,11:30:00,2025-03-26 20:53:56.531855
21,2008,4,4,Spanish Grand Prix,2008-04-27,12:00:00,2025-03-26 20:53:56.531855
22,2008,5,5,Turkish Grand Prix,2008-05-11,12:00:00,2025-03-26 20:53:56.531855
23,2008,6,6,Monaco Grand Prix,2008-05-25,12:00:00,2025-03-26 20:53:56.531855
24,2008,7,7,Canadian Grand Prix,2008-06-08,17:00:00,2025-03-26 20:53:56.531855
25,2008,8,8,French Grand Prix,2008-06-22,12:00:00,2025-03-26 20:53:56.531855
26,2008,9,9,British Grand Prix,2008-07-06,12:00:00,2025-03-26 20:53:56.531855
27,2008,10,10,German Grand Prix,2008-07-20,12:00:00,2025-03-26 20:53:56.531855
28,2008,11,11,Hungarian Grand Prix,2008-08-03,12:00:00,2025-03-26 20:53:56.531855
29,2008,12,12,European Grand Prix,2008-08-24,12:00:00,2025-03-26 20:53:56.531855
30,2008,13,13,Belgian Grand Prix,2008-09-07,12:00:00,2025-03-26 20:53:56.531855
31,2008,14,14,Italian Grand Prix,2008-09-14,12:00:00,2025-03-26 20:53:56.531855
32,2008,15,15,Singapore Grand Prix,2008-09-28,12:00:00,2025-03-26 20:53:56.531855
33,2008,16,16,Japanese Grand Prix,2008-10-12,04:30:00,2025-03-26 20:53:56.531855
34,2008,17,17,Chinese Grand Prix,2008-10-19,07:00:00,2025-03-26 20:53:56.531855
35,2008,18,18,Brazilian Grand Prix,2008-11-02,17:00:00,2025-03-26 20:53:56.531855
36,2007,1,1,Australian Grand Prix,2007-03-18,03:00:00,2025-03-26 20:53:56.531855
37,2007,2,2,Malaysian Grand Prix,2007-04-08,07:00:00,2025-03-26 20:53:56.531855
38,2007,3,3,Bahrain Grand Prix,2007-04-15,11:30:00,2025-03-26 20:53:56.531855
39,2007,4,4,Spanish Grand Prix,2007-05-13,12:00:00,2025-03-26 20:53:56.531855
40,2007,5,6,Monaco Grand Prix,2007-05-27,12:00:00,2025-03-26 20:53:56.531855
41,2007,6,7,Canadian Grand Prix,2007-06-10,17:00:00,2025-03-26 20:53:56.531855
42,2007,7,19,United States Grand Prix,2007-06-17,17:00:00,2025-03-26 20:53:56.531855
43,2007,8,8,French Grand Prix,2007-07-01,12:00:00,2025-03-26 20:53:56.531855
44,2007,9,9,British Grand Prix,2007-07-08,12:00:00,2025-03-26 20:53:56.531855
45,2007,10,20,European Grand Prix,2007-07-22,12:00:00,2025-03-26 20:53:56.531855
46,2007,11,11,Hungarian Grand Prix,2007-08-05,12:00:00,2025-03-26 20:53:56.531855
47,2007,12,5,Turkish Grand Prix,2007-08-26,12:00:00,2025-03-26 20:53:56.531855
48,2007,13,14,Italian Grand Prix,2007-09-09,12:00:00,2025-03-26 20:53:56.531855
49,2007,14,13,Belgian Grand Prix,2007-09-16,12:00:00,2025-03-26 20:53:56.531855
50,2007,15,16,Japanese Grand Prix,2007-09-30,04:30:00,2025-03-26 20:53:56.531855
51,2007,16,17,Chinese Grand Prix,2007-10-07,06:00:00,2025-03-26 20:53:56.531855
52,2007,17,18,Brazilian Grand Prix,2007-10-21,16:00:00,2025-03-26 20:53:56.531855
53,2006,1,3,Bahrain Grand Prix,2006-03-12,14:30:00,2025-03-26 20:53:56.531855
54,2006,2,2,Malaysian Grand Prix,2006-03-19,15:00:00,2025-03-26 20:53:56.531855
55,2006,3,1,Australian Grand Prix,2006-04-02,14:00:00,2025-03-26 20:53:56.531855
56,2006,4,21,San Marino Grand Prix,2006-04-23,14:00:00,2025-03-26 20:53:56.531855
57,2006,5,20,European Grand Prix,2006-05-07,14:00:00,2025-03-26 20:53:56.531855
58,2006,6,4,Spanish Grand Prix,2006-05-14,14:00:00,2025-03-26 20:53:56.531855
59,2006,7,6,Monaco Grand Prix,2006-05-28,14:00:00,2025-03-26 20:53:56.531855
60,2006,8,9,British Grand Prix,2006-06-11,12:00:00,2025-03-26 20:53:56.531855
61,2006,9,7,Canadian Grand Prix,2006-06-25,13:00:00,2025-03-26 20:53:56.531855
62,2006,10,19,United States Grand Prix,2006-07-02,14:00:00,2025-03-26 20:53:56.531855
63,2006,11,8,French Grand Prix,2006-07-16,14:00:00,2025-03-26 20:53:56.531855
64,2006,12,10,German Grand Prix,2006-07-30,14:00:00,2025-03-26 20:53:56.531855
65,2006,13,11,Hungarian Grand Prix,2006-08-06,14:00:00,2025-03-26 20:53:56.531855
66,2006,14,5,Turkish Grand Prix,2006-08-27,15:00:00,2025-03-26 20:53:56.531855
67,2006,15,14,Italian Grand Prix,2006-09-10,14:00:00,2025-03-26 20:53:56.531855
68,2006,16,17,Chinese Grand Prix,2006-10-01,14:00:00,2025-03-26 20:53:56.531855
69,2006,17,22,Japanese Grand Prix,2006-10-08,14:00:00,2025-03-26 20:53:56.531855
70,2006,18,18,Brazilian Grand Prix,2006-10-22,14:00:00,2025-03-26 20:53:56.531855
71,2005,1,1,Australian Grand Prix,2005-03-06,14:00:00,2025-03-26 20:53:56.531855
72,2005,2,2,Malaysian Grand Prix,2005-03-20,15:00:00,2025-03-26 20:53:56.531855
73,2005,3,3,Bahrain Grand Prix,2005-04-03,14:30:00,2025-03-26 20:53:56.531855
74,2005,4,21,San Marino Grand Prix,2005-04-24,14:00:00,2025-03-26 20:53:56.531855
75,2005,5,4,Spanish Grand Prix,2005-05-08,14:00:00,2025-03-26 20:53:56.531855
76,2005,6,6,Monaco Grand Prix,2005-05-22,14:00:00,2025-03-26 20:53:56.531855
77,2005,7,20,European Grand Prix,2005-05-29,14:00:00,2025-03-26 20:53:56.531855
78,2005,8,7,Canadian Grand Prix,2005-06-12,13:00:00,2025-03-26 20:53:56.531855
79,2005,9,19,United States Grand Prix,2005-06-19,14:00:00,2025-03-26 20:53:56.531855
80,2005,10,8,French Grand Prix,2005-07-03,14:00:00,2025-03-26 20:53:56.531855
81,2005,11,9,British Grand Prix,2005-07-10,14:00:00,2025-03-26 20:53:56.531855
82,2005,12,10,German Grand Prix,2005-07-24,14:00:00,2025-03-26 20:53:56.531855
83,2005,13,11,Hungarian Grand Prix,2005-07-31,14:00:00,2025-03-26 20:53:56.531855
84,2005,14,5,Turkish Grand Prix,2005-08-21,15:00:00,2025-03-26 20:53:56.531855
85,2005,15,14,Italian Grand Prix,2005-09-04,14:00:00,2025-03-26 20:53:56.531855
86,2005,16,13,Belgian Grand Prix,2005-09-11,14:00:00,2025-03-26 20:53:56.531855
87,2005,17,18,Brazilian Grand Prix,2005-09-25,14:00:00,2025-03-26 20:53:56.531855
88,2005,18,22,Japanese Grand Prix,2005-10-09,14:00:00,2025-03-26 20:53:56.531855
89,2005,19,17,Chinese Grand Prix,2005-10-16,14:00:00,2025-03-26 20:53:56.531855
90,2004,1,1,Australian Grand Prix,2004-03-07,\N,2025-03-26 20:53:56.531855
91,2004,2,2,Malaysian Grand Prix,2004-03-21,\N,2025-03-26 20:53:56.531855
92,2004,3,3,Bahrain Grand Prix,2004-04-04,\N,2025-03-26 20:53:56.531855
93,2004,4,21,San Marino Grand Prix,2004-04-25,\N,2025-03-26 20:53:56.531855
94,2004,5,4,Spanish Grand Prix,2004-05-09,\N,2025-03-26 20:53:56.531855
95,2004,6,6,Monaco Grand Prix,2004-05-23,\N,2025-03-26 20:53:56.531855
96,2004,7,20,European Grand Prix,2004-05-30,\N,2025-03-26 20:53:56.531855
97,2004,8,7,Canadian Grand Prix,2004-06-13,\N,2025-03-26 20:53:56.531855
98,2004,9,19,United States Grand Prix,2004-06-20,\N,2025-03-26 20:53:56.531855
99,2004,10,8,French Grand Prix,2004-07-04,\N,2025-03-26 20:53:56.531855
100,2004,11,9,British Grand Prix,2004-07-11,\N,2025-03-26 20:53:56.531855
101,2004,12,10,German Grand Prix,2004-07-25,\N,2025-03-26 20:53:56.531855
102,2004,13,11,Hungarian Grand Prix,2004-08-15,\N,2025-03-26 20:53:56.531855
103,2004,14,13,Belgian Grand Prix,2004-08-29,\N,2025-03-26 20:53:56.531855
104,2004,15,14,Italian Grand Prix,2004-09-12,\N,2025-03-26 20:53:56.531855
105,2004,16,17,Chinese Grand Prix,2004-09-26,\N,2025-03-26 20:53:56.531855
106,2004,17,22,Japanese Grand Prix,2004-10-10,\N,2025-03-26 20:53:56.531855
107,2004,18,18,Brazilian Grand Prix,2004-10-24,\N,2025-03-26 20:53:56.531855
108,2003,1,1,Australian Grand Prix,2003-03-09,\N,2025-03-26 20:53:56.531855
109,2003,2,2,Malaysian Grand Prix,2003-03-23,\N,2025-03-26 20:53:56.531855
110,2003,3,18,Brazilian Grand Prix,2003-04-06,\N,2025-03-26 20:53:56.531855
111,2003,4,21,San Marino Grand Prix,2003-04-20,\N,2025-03-26 20:53:56.531855
112,2003,5,4,Spanish Grand Prix,2003-05-04,\N,2025-03-26 20:53:56.531855
113,2003,6,23,Austrian Grand Prix,2003-05-18,\N,2025-03-26 20:53:56.531855
114,2003,7,6,Monaco Grand Prix,2003-06-01,\N,2025-03-26 20:53:56.531855
115,2003,8,7,Canadian Grand Prix,2003-06-15,\N,2025-03-26 20:53:56.531855
116,2003,9,20,European Grand Prix,2003-06-29,\N,2025-03-26 20:53:56.531855
117,2003,10,8,French Grand Prix,2003-07-06,\N,2025-03-26 20:53:56.531855
118,2003,11,9,British Grand Prix,2003-07-20,\N,2025-03-26 20:53:56.531855
119,2003,12,10,German Grand Prix,2003-08-03,\N,2025-03-26 20:53:56.531855
120,2003,13,11,Hungarian Grand Prix,2003-08-24,\N,2025-03-26 20:53:56.531855
121,2003,14,14,Italian Grand Prix,2003-09-14,\N,2025-03-26 20:53:56.531855
122,2003,15,19,United States Grand Prix,2003-09-28,\N,2025-03-26 20:53:56.531855
123,2003,16,22,Japanese Grand Prix,2003-10-12,\N,2025-03-26 20:53:56.531855
124,2002,1,1,Australian Grand Prix,2002-03-03,\N,2025-03-26 20:53:56.531855
125,2002,2,2,Malaysian Grand Prix,2002-03-17,\N,2025-03-26 20:53:56.531855
126,2002,3,18,Brazilian Grand Prix,2002-03-31,\N,2025-03-26 20:53:56.531855
127,2002,4,21,San Marino Grand Prix,2002-04-14,\N,2025-03-26 20:53:56.531855
128,2002,5,4,Spanish Grand Prix,2002-04-28,\N,2025-03-26 20:53:56.531855
129,2002,6,23,Austrian Grand Prix,2002-05-12,\N,2025-03-26 20:53:56.531855
130,2002,7,6,Monaco Grand Prix,2002-05-26,\N,2025-03-26 20:53:56.531855
131,2002,8,7,Canadian Grand Prix,2002-06-09,\N,2025-03-26 20:53:56.531855
132,2002,9,20,European Grand Prix,2002-06-23,\N,2025-03-26 20:53:56.531855
133,2002,10,9,British Grand Prix,2002-07-07,\N,2025-03-26 20:53:56.531855
134,2002,11,8,French Grand Prix,2002-07-21,\N,2025-03-26 20:53:56.531855
135,2002,12,10,German Grand Prix,2002-07-28,\N,2025-03-26 20:53:56.531855
136,2002,13,11,Hungarian Grand Prix,2002-08-18,\N,2025-03-26 20:53:56.531855
137,2002,14,13,Belgian Grand Prix,2002-09-01,\N,2025-03-26 20:53:56.531855
138,2002,15,14,Italian Grand Prix,2002-09-15,\N,2025-03-26 20:53:56.531855
139,2002,16,19,United States Grand Prix,2002-09-29,\N,2025-03-26 20:53:56.531855
140,2002,17,22,Japanese Grand Prix,2002-10-13,\N,2025-03-26 20:53:56.531855
141,2001,1,1,Australian Grand Prix,2001-03-04,\N,2025-03-26 20:53:56.531855
142,2001,2,2,Malaysian Grand Prix,2001-03-18,\N,2025-03-26 20:53:56.531855
143,2001,3,18,Brazilian Grand Prix,2001-04-01,\N,2025-03-26 20:53:56.531855
144,2001,4,21,San Marino Grand Prix,2001-04-15,\N,2025-03-26 20:53:56.531855
145,2001,5,4,Spanish Grand Prix,2001-04-29,\N,2025-03-26 20:53:56.531855
146,2001,6,23,Austrian Grand Prix,2001-05-13,\N,2025-03-26 20:53:56.531855
147,2001,7,6,Monaco Grand Prix,2001-05-27,\N,2025-03-26 20:53:56.531855
148,2001,8,7,Canadian Grand Prix,2001-06-10,\N,2025-03-26 20:53:56.531855
149,2001,9,20,European Grand Prix,2001-06-24,\N,2025-03-26 20:53:56.531855
150,2001,10,8,French Grand Prix,2001-07-01,\N,2025-03-26 20:53:56.531855
151,2001,11,9,British Grand Prix,2001-07-15,\N,2025-03-26 20:53:56.531855
152,2001,12,10,German Grand Prix,2001-07-29,\N,2025-03-26 20:53:56.531855
153,2001,13,11,Hungarian Grand Prix,2001-08-19,\N,2025-03-26 20:53:56.531855
154,2001,14,13,Belgian Grand Prix,2001-09-02,\N,2025-03-26 20:53:56.531855
155,2001,15,14,Italian Grand Prix,2001-09-16,\N,2025-03-26 20:53:56.531855
156,2001,16,19,United States Grand Prix,2001-09-30,\N,2025-03-26 20:53:56.531855
157,2001,17,22,Japanese Grand Prix,2001-10-14,\N,2025-03-26 20:53:56.531855
158,2000,1,1,Australian Grand Prix,2000-03-12,\N,2025-03-26 20:53:56.531855
159,2000,2,18,Brazilian Grand Prix,2000-03-26,\N,2025-03-26 20:53:56.531855
160,2000,3,21,San Marino Grand Prix,2000-04-09,\N,2025-03-26 20:53:56.531855
161,2000,4,9,British Grand Prix,2000-04-23,\N,2025-03-26 20:53:56.531855
162,2000,5,4,Spanish Grand Prix,2000-05-07,\N,2025-03-26 20:53:56.531855
163,2000,6,20,European Grand Prix,2000-05-21,\N,2025-03-26 20:53:56.531855
164,2000,7,6,Monaco Grand Prix,2000-06-04,\N,2025-03-26 20:53:56.531855
165,2000,8,7,Canadian Grand Prix,2000-06-18,\N,2025-03-26 20:53:56.531855
166,2000,9,8,French Grand Prix,2000-07-02,\N,2025-03-26 20:53:56.531855
167,2000,10,23,Austrian Grand Prix,2000-07-16,\N,2025-03-26 20:53:56.531855
168,2000,11,10,German Grand Prix,2000-07-30,\N,2025-03-26 20:53:56.531855
169,2000,12,11,Hungarian Grand Prix,2000-08-13,\N,2025-03-26 20:53:56.531855
170,2000,13,13,Belgian Grand Prix,2000-08-27,\N,2025-03-26 20:53:56.531855
171,2000,14,14,Italian Grand Prix,2000-09-10,\N,2025-03-26 20:53:56.531855
172,2000,15,19,United States Grand Prix,2000-09-24,\N,2025-03-26 20:53:56.531855
173,2000,16,22,Japanese Grand Prix,2000-10-08,\N,2025-03-26 20:53:56.531855
174,2000,17,2,Malaysian Grand Prix,2000-10-22,\N,2025-03-26 20:53:56.531855
175,1999,1,1,Australian Grand Prix,1999-03-07,\N,2025-03-26 20:53:56.531855
176,1999,2,18,Brazilian Grand Prix,1999-04-11,\N,2025-03-26 20:53:56.531855
177,1999,3,21,San Marino Grand Prix,1999-05-02,\N,2025-03-26 20:53:56.531855
178,1999,4,6,Monaco Grand Prix,1999-05-16,\N,2025-03-26 20:53:56.531855
179,1999,5,4,Spanish Grand Prix,1999-05-30,\N,2025-03-26 20:53:56.531855
180,1999,6,7,Canadian Grand Prix,1999-06-13,\N,2025-03-26 20:53:56.531855
181,1999,7,8,French Grand Prix,1999-06-27,\N,2025-03-26 20:53:56.531855
182,1999,8,9,British Grand Prix,1999-07-11,\N,2025-03-26 20:53:56.531855
183,1999,9,23,Austrian Grand Prix,1999-07-25,\N,2025-03-26 20:53:56.531855
184,1999,10,10,German Grand Prix,1999-08-01,\N,2025-03-26 20:53:56.531855
185,1999,11,11,Hungarian Grand Prix,1999-08-15,\N,2025-03-26 20:53:56.531855
186,1999,12,13,Belgian Grand Prix,1999-08-29,\N,2025-03-26 20:53:56.531855
187,1999,13,14,Italian Grand Prix,1999-09-12,\N,2025-03-26 20:53:56.531855
188,1999,14,20,European Grand Prix,1999-09-26,\N,2025-03-26 20:53:56.531855
189,1999,15,2,Malaysian Grand Prix,1999-10-17,\N,2025-03-26 20:53:56.531855
190,1999,16,22,Japanese Grand Prix,1999-10-31,\N,2025-03-26 20:53:56.531855
191,1998,1,1,Australian Grand Prix,1998-03-08,\N,2025-03-26 20:53:56.531855
192,1998,2,18,Brazilian Grand Prix,1998-03-29,\N,2025-03-26 20:53:56.531855
193,1998,3,25,Argentine Grand Prix,1998-04-12,\N,2025-03-26 20:53:56.531855
194,1998,4,21,San Marino Grand Prix,1998-04-26,\N,2025-03-26 20:53:56.531855
195,1998,5,4,Spanish Grand Prix,1998-05-10,\N,2025-03-26 20:53:56.531855
196,1998,6,6,Monaco Grand Prix,1998-05-24,\N,2025-03-26 20:53:56.531855
197,1998,7,7,Canadian Grand Prix,1998-06-07,\N,2025-03-26 20:53:56.531855
198,1998,8,8,French Grand Prix,1998-06-28,\N,2025-03-26 20:53:56.531855
199,1998,9,9,British Grand Prix,1998-07-12,\N,2025-03-26 20:53:56.531855
200,1998,10,23,Austrian Grand Prix,1998-07-26,\N,2025-03-26 20:53:56.531855
201,1998,11,10,German Grand Prix,1998-08-02,\N,2025-03-26 20:53:56.531855
202,1998,12,11,Hungarian Grand Prix,1998-08-16,\N,2025-03-26 20:53:56.531855
203,1998,13,13,Belgian Grand Prix,1998-08-30,\N,2025-03-26 20:53:56.531855
204,1998,14,14,Italian Grand Prix,1998-09-13,\N,2025-03-26 20:53:56.531855
205,1998,15,20,Luxembourg Grand Prix,1998-09-27,\N,2025-03-26 20:53:56.531855
206,1998,16,22,Japanese Grand Prix,1998-11-01,\N,2025-03-26 20:53:56.531855
207,1997,1,1,Australian Grand Prix,1997-03-09,\N,2025-03-26 20:53:56.531855
208,1997,2,18,Brazilian Grand Prix,1997-03-30,\N,2025-03-26 20:53:56.531855
209,1997,3,25,Argentine Grand Prix,1997-04-13,\N,2025-03-26 20:53:56.531855
210,1997,4,21,San Marino Grand Prix,1997-04-27,\N,2025-03-26 20:53:56.531855
211,1997,5,6,Monaco Grand Prix,1997-05-11,\N,2025-03-26 20:53:56.531855
212,1997,6,4,Spanish Grand Prix,1997-05-25,\N,2025-03-26 20:53:56.531855
213,1997,7,7,Canadian Grand Prix,1997-06-15,\N,2025-03-26 20:53:56.531855
214,1997,8,8,French Grand Prix,1997-06-29,\N,2025-03-26 20:53:56.531855
215,1997,9,9,British Grand Prix,1997-07-13,\N,2025-03-26 20:53:56.531855
216,1997,10,10,German Grand Prix,1997-07-27,\N,2025-03-26 20:53:56.531855
217,1997,11,11,Hungarian Grand Prix,1997-08-10,\N,2025-03-26 20:53:56.531855
218,1997,12,13,Belgian Grand Prix,1997-08-24,\N,2025-03-26 20:53:56.531855
219,1997,13,14,Italian Grand Prix,1997-09-07,\N,2025-03-26 20:53:56.531855
220,1997,14,23,Austrian Grand Prix,1997-09-21,\N,2025-03-26 20:53:56.531855
221,1997,15,20,Luxembourg Grand Prix,1997-09-28,\N,2025-03-26 20:53:56.531855
222,1997,16,22,Japanese Grand Prix,1997-10-12,\N,2025-03-26 20:53:56.531855
223,1997,17,26,European Grand Prix,1997-10-26,\N,2025-03-26 20:53:56.531855
224,1996,1,1,Australian Grand Prix,1996-03-10,\N,2025-03-26 20:53:56.531855
225,1996,2,18,Brazilian Grand Prix,1996-03-31,\N,2025-03-26 20:53:56.531855
226,1996,3,25,Argentine Grand Prix,1996-04-07,\N,2025-03-26 20:53:56.531855
227,1996,4,20,European Grand Prix,1996-04-28,\N,2025-03-26 20:53:56.531855
228,1996,5,21,San Marino Grand Prix,1996-05-05,\N,2025-03-26 20:53:56.531855
229,1996,6,6,Monaco Grand Prix,1996-05-19,\N,2025-03-26 20:53:56.531855
230,1996,7,4,Spanish Grand Prix,1996-06-02,\N,2025-03-26 20:53:56.531855
231,1996,8,7,Canadian Grand Prix,1996-06-16,\N,2025-03-26 20:53:56.531855
232,1996,9,8,French Grand Prix,1996-06-30,\N,2025-03-26 20:53:56.531855
233,1996,10,9,British Grand Prix,1996-07-14,\N,2025-03-26 20:53:56.531855
234,1996,11,10,German Grand Prix,1996-07-28,\N,2025-03-26 20:53:56.531855
235,1996,12,11,Hungarian Grand Prix,1996-08-11,\N,2025-03-26 20:53:56.531855
236,1996,13,13,Belgian Grand Prix,1996-08-25,\N,2025-03-26 20:53:56.531855
237,1996,14,14,Italian Grand Prix,1996-09-08,\N,2025-03-26 20:53:56.531855
238,1996,15,27,Portuguese Grand Prix,1996-09-22,\N,2025-03-26 20:53:56.531855
239,1996,16,22,Japanese Grand Prix,1996-10-13,\N,2025-03-26 20:53:56.531855
240,1995,1,18,Brazilian Grand Prix,1995-03-26,\N,2025-03-26 20:53:56.531855
241,1995,2,25,Argentine Grand Prix,1995-04-09,\N,2025-03-26 20:53:56.531855
242,1995,3,21,San Marino Grand Prix,1995-04-30,\N,2025-03-26 20:53:56.531855
243,1995,4,4,Spanish Grand Prix,1995-05-14,\N,2025-03-26 20:53:56.531855
244,1995,5,6,Monaco Grand Prix,1995-05-28,\N,2025-03-26 20:53:56.531855
245,1995,6,7,Canadian Grand Prix,1995-06-11,\N,2025-03-26 20:53:56.531855
246,1995,7,8,French Grand Prix,1995-07-02,\N,2025-03-26 20:53:56.531855
247,1995,8,9,British Grand Prix,1995-07-16,\N,2025-03-26 20:53:56.531855
248,1995,9,10,German Grand Prix,1995-07-30,\N,2025-03-26 20:53:56.531855
249,1995,10,11,Hungarian Grand Prix,1995-08-13,\N,2025-03-26 20:53:56.531855
250,1995,11,13,Belgian Grand Prix,1995-08-27,\N,2025-03-26 20:53:56.531855
251,1995,12,14,Italian Grand Prix,1995-09-10,\N,2025-03-26 20:53:56.531855
252,1995,13,27,Portuguese Grand Prix,1995-09-24,\N,2025-03-26 20:53:56.531855
253,1995,14,20,European Grand Prix,1995-10-01,\N,2025-03-26 20:53:56.531855
254,1995,15,28,Pacific Grand Prix,1995-10-22,\N,2025-03-26 20:53:56.531855
255,1995,16,22,Japanese Grand Prix,1995-10-29,\N,2025-03-26 20:53:56.531855
256,1995,17,29,Australian Grand Prix,1995-11-12,\N,2025-03-26 20:53:56.531855
257,1994,1,18,Brazilian Grand Prix,1994-03-27,\N,2025-03-26 20:53:56.531855
258,1994,2,28,Pacific Grand Prix,1994-04-17,\N,2025-03-26 20:53:56.531855
259,1994,3,21,San Marino Grand Prix,1994-05-01,\N,2025-03-26 20:53:56.531855
260,1994,4,6,Monaco Grand Prix,1994-05-15,\N,2025-03-26 20:53:56.531855
261,1994,5,4,Spanish Grand Prix,1994-05-29,\N,2025-03-26 20:53:56.531855
262,1994,6,7,Canadian Grand Prix,1994-06-12,\N,2025-03-26 20:53:56.531855
263,1994,7,8,French Grand Prix,1994-07-03,\N,2025-03-26 20:53:56.531855
264,1994,8,9,British Grand Prix,1994-07-10,\N,2025-03-26 20:53:56.531855
