race_Id,year,round,circuit_Id,race_name,date,time,timestamp
805,1954,7,66,Swiss Grand Prix,1954-08-22,\N,2025-03-26 20:53:56.531855
806,1954,8,14,Italian Grand Prix,1954-09-05,\N,2025-03-26 20:53:56.531855
807,1954,9,67,Spanish Grand Prix,1954-10-24,\N,2025-03-26 20:53:56.531855
808,1953,1,25,Argentine Grand Prix,1953-01-18,\N,2025-03-26 20:53:56.531855
809,1953,2,19,Indianapolis 500,1953-05-30,\N,2025-03-26 20:53:56.531855
810,1953,3,39,Dutch Grand Prix,1953-06-07,\N,2025-03-26 20:53:56.531855
811,1953,4,13,Belgian Grand Prix,1953-06-21,\N,2025-03-26 20:53:56.531855
812,1953,5,55,French Grand Prix,1953-07-05,\N,2025-03-26 20:53:56.531855
813,1953,6,9,British Grand Prix,1953-07-18,\N,2025-03-26 20:53:56.531855
814,1953,7,20,German Grand Prix,1953-08-02,\N,2025-03-26 20:53:56.531855
815,1953,8,66,Swiss Grand Prix,1953-08-23,\N,2025-03-26 20:53:56.531855
816,1953,9,14,Italian Grand Prix,1953-09-13,\N,2025-03-26 20:53:56.531855
817,1952,1,66,Swiss Grand Prix,1952-05-18,\N,2025-03-26 20:53:56.531855
818,1952,2,19,Indianapolis 500,1952-05-30,\N,2025-03-26 20:53:56.531855
819,1952,3,13,Belgian Grand Prix,1952-06-22,\N,2025-03-26 20:53:56.531855
820,1952,4,53,French Grand Prix,1952-07-06,\N,2025-03-26 20:53:56.531855
821,1952,5,9,British Grand Prix,1952-07-19,\N,2025-03-26 20:53:56.531855
822,1952,6,20,German Grand Prix,1952-08-03,\N,2025-03-26 20:53:56.531855
823,1952,7,39,Dutch Grand Prix,1952-08-17,\N,2025-03-26 20:53:56.531855
824,1952,8,14,Italian Grand Prix,1952-09-07,\N,2025-03-26 20:53:56.531855
825,1951,1,66,Swiss Grand Prix,1951-05-27,\N,2025-03-26 20:53:56.531855
826,1951,2,19,Indianapolis 500,1951-05-30,\N,2025-03-26 20:53:56.531855
827,1951,3,13,Belgian Grand Prix,1951-06-17,\N,2025-03-26 20:53:56.531855
828,1951,4,55,French Grand Prix,1951-07-01,\N,2025-03-26 20:53:56.531855
829,1951,5,9,British Grand Prix,1951-07-14,\N,2025-03-26 20:53:56.531855
830,1951,6,20,German Grand Prix,1951-07-29,\N,2025-03-26 20:53:56.531855
831,1951,7,14,Italian Grand Prix,1951-09-16,\N,2025-03-26 20:53:56.531855
832,1951,8,67,Spanish Grand Prix,1951-10-28,\N,2025-03-26 20:53:56.531855
833,1950,1,9,British Grand Prix,1950-05-13,\N,2025-03-26 20:53:56.531855
834,1950,2,6,Monaco Grand Prix,1950-05-21,\N,2025-03-26 20:53:56.531855
835,1950,3,19,Indianapolis 500,1950-05-30,\N,2025-03-26 20:53:56.531855
836,1950,4,66,Swiss Grand Prix,1950-06-04,\N,2025-03-26 20:53:56.531855
837,1950,5,13,Belgian Grand Prix,1950-06-18,\N,2025-03-26 20:53:56.531855
838,1950,6,55,French Grand Prix,1950-07-02,\N,2025-03-26 20:53:56.531855
839,1950,7,14,Italian Grand Prix,1950-09-03,\N,2025-03-26 20:53:56.531855
841,2011,1,1,Australian Grand Prix,2011-03-27,06:00:00,2025-03-26 20:53:56.531855
842,2011,2,2,Malaysian Grand Prix,2011-04-10,08:00:00,2025-03-26 20:53:56.531855
843,2011,3,17,Chinese Grand Prix,2011-04-17,07:00:00,2025-03-26 20:53:56.531855
844,2011,4,5,Turkish Grand Prix,2011-05-08,12:00:00,2025-03-26 20:53:56.531855
845,2011,5,4,Spanish Grand Prix,2011-05-22,12:00:00,2025-03-26 20:53:56.531855
846,2011,6,6,Monaco Grand Prix,2011-05-29,12:00:00,2025-03-26 20:53:56.531855
847,2011,7,7,Canadian Grand Prix,2011-06-12,17:00:00,2025-03-26 20:53:56.531855
848,2011,8,12,European Grand Prix,2011-06-26,12:00:00,2025-03-26 20:53:56.531855
849,2011,9,9,British Grand Prix,2011-07-10,12:00:00,2025-03-26 20:53:56.531855
850,2011,10,20,German Grand Prix,2011-07-24,12:00:00,2025-03-26 20:53:56.531855
851,2011,11,11,Hungarian Grand Prix,2011-07-31,12:00:00,2025-03-26 20:53:56.531855
852,2011,12,13,Belgian Grand Prix,2011-08-28,12:00:00,2025-03-26 20:53:56.531855
853,2011,13,14,Italian Grand Prix,2011-09-11,12:00:00,2025-03-26 20:53:56.531855
854,2011,14,15,Singapore Grand Prix,2011-09-25,12:00:00,2025-03-26 20:53:56.531855
855,2011,15,22,Japanese Grand Prix,2011-10-09,06:00:00,2025-03-26 20:53:56.531855
856,2011,16,35,Korean Grand Prix,2011-10-16,06:00:00,2025-03-26 20:53:56.531855
857,2011,17,68,Indian Grand Prix,2011-10-30,09:30:00,2025-03-26 20:53:56.531855
858,2011,18,24,Abu Dhabi Grand Prix,2011-11-13,13:00:00,2025-03-26 20:53:56.531855
859,2011,19,18,Brazilian Grand Prix,2011-11-27,16:00:00,2025-03-26 20:53:56.531855
860,2012,1,1,Australian Grand Prix,2012-03-18,06:00:00,2025-03-26 20:53:56.531855
861,2012,2,2,Malaysian Grand Prix,2012-03-25,08:00:00,2025-03-26 20:53:56.531855
862,2012,3,17,Chinese Grand Prix,2012-04-15,07:00:00,2025-03-26 20:53:56.531855
863,2012,4,3,Bahrain Grand Prix,2012-04-22,12:00:00,2025-03-26 20:53:56.531855
864,2012,5,4,Spanish Grand Prix,2012-05-13,12:00:00,2025-03-26 20:53:56.531855
865,2012,6,6,Monaco Grand Prix,2012-05-27,12:00:00,2025-03-26 20:53:56.531855
866,2012,7,7,Canadian Grand Prix,2012-06-10,18:00:00,2025-03-26 20:53:56.531855
867,2012,8,12,European Grand Prix,2012-06-24,12:00:00,2025-03-26 20:53:56.531855
868,2012,9,9,British Grand Prix,2012-07-08,12:00:00,2025-03-26 20:53:56.531855
869,2012,10,10,German Grand Prix,2012-07-22,12:00:00,2025-03-26 20:53:56.531855
870,2012,11,11,Hungarian Grand Prix,2012-07-29,12:00:00,2025-03-26 20:53:56.531855
871,2012,12,13,Belgian Grand Prix,2012-09-02,12:00:00,2025-03-26 20:53:56.531855
872,2012,13,14,Italian Grand Prix,2012-09-09,12:00:00,2025-03-26 20:53:56.531855
873,2012,14,15,Singapore Grand Prix,2012-09-23,12:00:00,2025-03-26 20:53:56.531855
874,2012,15,22,Japanese Grand Prix,2012-10-07,06:00:00,2025-03-26 20:53:56.531855
875,2012,16,35,Korean Grand Prix,2012-10-14,06:00:00,2025-03-26 20:53:56.531855
876,2012,17,68,Indian Grand Prix,2012-10-28,09:30:00,2025-03-26 20:53:56.531855
877,2012,18,24,Abu Dhabi Grand Prix,2012-11-04,13:00:00,2025-03-26 20:53:56.531855
878,2012,19,69,United States Grand Prix,2012-11-18,19:00:00,2025-03-26 20:53:56.531855
879,2012,20,18,Brazilian Grand Prix,2012-11-25,16:00:00,2025-03-26 20:53:56.531855
880,2013,1,1,Australian Grand Prix,2013-03-17,06:00:00,2025-03-26 20:53:56.531855
881,2013,2,2,Malaysian Grand Prix,2013-03-24,08:00:00,2025-03-26 20:53:56.531855
882,2013,3,17,Chinese Grand Prix,2013-04-14,07:00:00,2025-03-26 20:53:56.531855
883,2013,4,3,Bahrain Grand Prix,2013-04-21,12:00:00,2025-03-26 20:53:56.531855
884,2013,5,4,Spanish Grand Prix,2013-05-12,12:00:00,2025-03-26 20:53:56.531855
885,2013,6,6,Monaco Grand Prix,2013-05-26,12:00:00,2025-03-26 20:53:56.531855
886,2013,7,7,Canadian Grand Prix,2013-06-09,18:00:00,2025-03-26 20:53:56.531855
887,2013,8,9,British Grand Prix,2013-06-30,12:00:00,2025-03-26 20:53:56.531855
888,2013,9,20,German Grand Prix,2013-07-07,12:00:00,2025-03-26 20:53:56.531855
890,2013,10,11,Hungarian Grand Prix,2013-07-28,12:00:00,2025-03-26 20:53:56.531855
891,2013,11,13,Belgian Grand Prix,2013-08-25,12:00:00,2025-03-26 20:53:56.531855
892,2013,12,14,Italian Grand Prix,2013-09-08,12:00:00,2025-03-26 20:53:56.531855
893,2013,13,15,Singapore Grand Prix,2013-09-22,12:00:00,2025-03-26 20:53:56.531855
894,2013,14,35,Korean Grand Prix,2013-10-06,06:00:00,2025-03-26 20:53:56.531855
895,2013,15,22,Japanese Grand Prix,2013-10-13,06:00:00,2025-03-26 20:53:56.531855
896,2013,16,68,Indian Grand Prix,2013-10-27,09:30:00,2025-03-26 20:53:56.531855
897,2013,17,24,Abu Dhabi Grand Prix,2013-11-03,13:00:00,2025-03-26 20:53:56.531855
898,2013,18,69,United States Grand Prix,2013-11-17,19:00:00,2025-03-26 20:53:56.531855
899,2013,19,18,Brazilian Grand Prix,2013-11-24,16:00:00,2025-03-26 20:53:56.531855
900,2014,1,1,Australian Grand Prix,2014-03-16,06:00:00,2025-03-26 20:53:56.531855
901,2014,2,2,Malaysian Grand Prix,2014-03-30,08:00:00,2025-03-26 20:53:56.531855
902,2014,3,3,Bahrain Grand Prix,2014-04-06,15:00:00,2025-03-26 20:53:56.531855
903,2014,4,17,Chinese Grand Prix,2014-04-20,07:00:00,2025-03-26 20:53:56.531855
904,2014,5,4,Spanish Grand Prix,2014-05-11,12:00:00,2025-03-26 20:53:56.531855
905,2014,6,6,Monaco Grand Prix,2014-05-25,12:00:00,2025-03-26 20:53:56.531855
906,2014,7,7,Canadian Grand Prix,2014-06-08,18:00:00,2025-03-26 20:53:56.531855
907,2014,8,70,Austrian Grand Prix,2014-06-22,12:00:00,2025-03-26 20:53:56.531855
908,2014,9,9,British Grand Prix,2014-07-06,12:00:00,2025-03-26 20:53:56.531855
909,2014,10,10,German Grand Prix,2014-07-20,12:00:00,2025-03-26 20:53:56.531855
910,2014,11,11,Hungarian Grand Prix,2014-07-27,12:00:00,2025-03-26 20:53:56.531855
911,2014,12,13,Belgian Grand Prix,2014-08-24,12:00:00,2025-03-26 20:53:56.531855
912,2014,13,14,Italian Grand Prix,2014-09-07,12:00:00,2025-03-26 20:53:56.531855
913,2014,14,15,Singapore Grand Prix,2014-09-21,12:00:00,2025-03-26 20:53:56.531855
914,2014,15,22,Japanese Grand Prix,2014-10-05,06:00:00,2025-03-26 20:53:56.531855
915,2014,16,71,Russian Grand Prix,2014-10-12,11:00:00,2025-03-26 20:53:56.531855
916,2014,17,69,United States Grand Prix,2014-11-02,20:00:00,2025-03-26 20:53:56.531855
917,2014,18,18,Brazilian Grand Prix,2014-11-09,16:00:00,2025-03-26 20:53:56.531855
918,2014,19,24,Abu Dhabi Grand Prix,2014-11-23,13:00:00,2025-03-26 20:53:56.531855
931,2015,6,6,Monaco Grand Prix,2015-05-24,12:00:00,2025-03-26 20:53:56.531855
932,2015,7,7,Canadian Grand Prix,2015-06-07,18:00:00,2025-03-26 20:53:56.531855
929,2015,4,3,Bahrain Grand Prix,2015-04-19,15:00:00,2025-03-26 20:53:56.531855
930,2015,5,4,Spanish Grand Prix,2015-05-10,12:00:00,2025-03-26 20:53:56.531855
928,2015,3,17,Chinese Grand Prix,2015-04-12,06:00:00,2025-03-26 20:53:56.531855
926,2015,1,1,Australian Grand Prix,2015-03-15,05:00:00,2025-03-26 20:53:56.531855
927,2015,2,2,Malaysian Grand Prix,2015-03-29,07:00:00,2025-03-26 20:53:56.531855
933,2015,8,70,Austrian Grand Prix,2015-06-21,12:00:00,2025-03-26 20:53:56.531855
934,2015,9,9,British Grand Prix,2015-07-05,12:00:00,2025-03-26 20:53:56.531855
936,2015,10,11,Hungarian Grand Prix,2015-07-26,12:00:00,2025-03-26 20:53:56.531855
937,2015,11,13,Belgian Grand Prix,2015-08-23,12:00:00,2025-03-26 20:53:56.531855
938,2015,12,14,Italian Grand Prix,2015-09-06,12:00:00,2025-03-26 20:53:56.531855
939,2015,13,15,Singapore Grand Prix,2015-09-20,12:00:00,2025-03-26 20:53:56.531855
940,2015,14,22,Japanese Grand Prix,2015-09-27,05:00:00,2025-03-26 20:53:56.531855
941,2015,15,71,Russian Grand Prix,2015-10-11,11:00:00,2025-03-26 20:53:56.531855
942,2015,16,69,United States Grand Prix,2015-10-25,19:00:00,2025-03-26 20:53:56.531855
943,2015,17,32,Mexican Grand Prix,2015-11-01,19:00:00,2025-03-26 20:53:56.531855
944,2015,18,18,Brazilian Grand Prix,2015-11-15,16:00:00,2025-03-26 20:53:56.531855
945,2015,19,24,Abu Dhabi Grand Prix,2015-11-29,13:00:00,2025-03-26 20:53:56.531855
948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,2025-03-26 20:53:56.531855
949,2016,2,3,Bahrain Grand Prix,2016-04-03,15:00:00,2025-03-26 20:53:56.531855
950,2016,3,17,Chinese Grand Prix,2016-04-17,06:00:00,2025-03-26 20:53:56.531855
951,2016,4,71,Russian Grand Prix,2016-05-01,12:00:00,2025-03-26 20:53:56.531855
952,2016,5,4,Spanish Grand Prix,2016-05-15,12:00:00,2025-03-26 20:53:56.531855
953,2016,6,6,Monaco Grand Prix,2016-05-29,12:00:00,2025-03-26 20:53:56.531855
954,2016,7,7,Canadian Grand Prix,2016-06-12,18:00:00,2025-03-26 20:53:56.531855
955,2016,8,73,European Grand Prix,2016-06-19,13:00:00,2025-03-26 20:53:56.531855
956,2016,9,70,Austrian Grand Prix,2016-07-03,12:00:00,2025-03-26 20:53:56.531855
957,2016,10,9,British Grand Prix,2016-07-10,12:00:00,2025-03-26 20:53:56.531855
958,2016,11,11,Hungarian Grand Prix,2016-07-24,12:00:00,2025-03-26 20:53:56.531855
959,2016,12,10,German Grand Prix,2016-07-31,12:00:00,2025-03-26 20:53:56.531855
960,2016,13,13,Belgian Grand Prix,2016-08-28,12:00:00,2025-03-26 20:53:56.531855
961,2016,14,14,Italian Grand Prix,2016-09-04,12:00:00,2025-03-26 20:53:56.531855
962,2016,15,15,Singapore Grand Prix,2016-09-18,12:00:00,2025-03-26 20:53:56.531855
963,2016,16,2,Malaysian Grand Prix,2016-10-02,07:00:00,2025-03-26 20:53:56.531855
964,2016,17,22,Japanese Grand Prix,2016-10-09,05:00:00,2025-03-26 20:53:56.531855
965,2016,18,69,United States Grand Prix,2016-10-23,19:00:00,2025-03-26 20:53:56.531855
966,2016,19,32,Mexican Grand Prix,2016-10-30,19:00:00,2025-03-26 20:53:56.531855
967,2016,20,18,Brazilian Grand Prix,2016-11-13,16:00:00,2025-03-26 20:53:56.531855
968,2016,21,24,Abu Dhabi Grand Prix,2016-11-27,13:00:00,2025-03-26 20:53:56.531855
969,2017,1,1,Australian Grand Prix,2017-03-26,05:00:00,2025-03-26 20:53:56.531855
970,2017,2,17,Chinese Grand Prix,2017-04-09,06:00:00,2025-03-26 20:53:56.531855
971,2017,3,3,Bahrain Grand Prix,2017-04-16,15:00:00,2025-03-26 20:53:56.531855
972,2017,4,71,Russian Grand Prix,2017-04-30,12:00:00,2025-03-26 20:53:56.531855
973,2017,5,4,Spanish Grand Prix,2017-05-14,12:00:00,2025-03-26 20:53:56.531855
974,2017,6,6,Monaco Grand Prix,2017-05-28,12:00:00,2025-03-26 20:53:56.531855
975,2017,7,7,Canadian Grand Prix,2017-06-11,18:00:00,2025-03-26 20:53:56.531855
976,2017,8,73,Azerbaijan Grand Prix,2017-06-25,13:00:00,2025-03-26 20:53:56.531855
977,2017,9,70,Austrian Grand Prix,2017-07-09,12:00:00,2025-03-26 20:53:56.531855
978,2017,10,9,British Grand Prix,2017-07-16,12:00:00,2025-03-26 20:53:56.531855
979,2017,11,11,Hungarian Grand Prix,2017-07-30,12:00:00,2025-03-26 20:53:56.531855
980,2017,12,13,Belgian Grand Prix,2017-08-27,12:00:00,2025-03-26 20:53:56.531855
981,2017,13,14,Italian Grand Prix,2017-09-03,12:00:00,2025-03-26 20:53:56.531855
982,2017,14,15,Singapore Grand Prix,2017-09-17,12:00:00,2025-03-26 20:53:56.531855
983,2017,15,2,Malaysian Grand Prix,2017-10-01,07:00:00,2025-03-26 20:53:56.531855
984,2017,16,22,Japanese Grand Prix,2017-10-08,05:00:00,2025-03-26 20:53:56.531855
985,2017,17,69,United States Grand Prix,2017-10-22,19:00:00,2025-03-26 20:53:56.531855
986,2017,18,32,Mexican Grand Prix,2017-10-29,19:00:00,2025-03-26 20:53:56.531855
987,2017,19,18,Brazilian Grand Prix,2017-11-12,16:00:00,2025-03-26 20:53:56.531855
988,2017,20,24,Abu Dhabi Grand Prix,2017-11-26,13:00:00,2025-03-26 20:53:56.531855
989,2018,1,1,Australian Grand Prix,2018-03-25,05:10:00,2025-03-26 20:53:56.531855
990,2018,2,3,Bahrain Grand Prix,2018-04-08,15:10:00,2025-03-26 20:53:56.531855
991,2018,3,17,Chinese Grand Prix,2018-04-15,06:10:00,2025-03-26 20:53:56.531855
992,2018,4,73,Azerbaijan Grand Prix,2018-04-29,12:10:00,2025-03-26 20:53:56.531855
993,2018,5,4,Spanish Grand Prix,2018-05-13,13:10:00,2025-03-26 20:53:56.531855
994,2018,6,6,Monaco Grand Prix,2018-05-27,13:10:00,2025-03-26 20:53:56.531855
995,2018,7,7,Canadian Grand Prix,2018-06-10,18:10:00,2025-03-26 20:53:56.531855
996,2018,8,34,French Grand Prix,2018-06-24,14:10:00,2025-03-26 20:53:56.531855
997,2018,9,70,Austrian Grand Prix,2018-07-01,13:10:00,2025-03-26 20:53:56.531855
998,2018,10,9,British Grand Prix,2018-07-08,13:10:00,2025-03-26 20:53:56.531855
999,2018,11,10,German Grand Prix,2018-07-22,13:10:00,2025-03-26 20:53:56.531855
1000,2018,12,11,Hungarian Grand Prix,2018-07-29,13:10:00,2025-03-26 20:53:56.531855
1001,2018,13,13,Belgian Grand Prix,2018-08-26,13:10:00,2025-03-26 20:53:56.531855
1002,2018,14,14,Italian Grand Prix,2018-09-02,13:10:00,2025-03-26 20:53:56.531855
1003,2018,15,15,Singapore Grand Prix,2018-09-16,12:10:00,2025-03-26 20:53:56.531855
1004,2018,16,71,Russian Grand Prix,2018-09-30,11:10:00,2025-03-26 20:53:56.531855
1005,2018,17,22,Japanese Grand Prix,2018-10-07,05:10:00,2025-03-26 20:53:56.531855
1006,2018,18,69,United States Grand Prix,2018-10-21,18:10:00,2025-03-26 20:53:56.531855
1007,2018,19,32,Mexican Grand Prix,2018-10-28,19:10:00,2025-03-26 20:53:56.531855
1008,2018,20,18,Brazilian Grand Prix,2018-11-11,17:10:00,2025-03-26 20:53:56.531855
1009,2018,21,24,Abu Dhabi Grand Prix,2018-11-25,13:10:00,2025-03-26 20:53:56.531855
1010,2019,1,1,Australian Grand Prix,2019-03-17,05:10:00,2025-03-26 20:53:56.531855
1011,2019,2,3,Bahrain Grand Prix,2019-03-31,15:10:00,2025-03-26 20:53:56.531855
1012,2019,3,17,Chinese Grand Prix,2019-04-14,06:10:00,2025-03-26 20:53:56.531855
1013,2019,4,73,Azerbaijan Grand Prix,2019-04-28,12:10:00,2025-03-26 20:53:56.531855
1014,2019,5,4,Spanish Grand Prix,2019-05-12,13:10:00,2025-03-26 20:53:56.531855
1015,2019,6,6,Monaco Grand Prix,2019-05-26,13:10:00,2025-03-26 20:53:56.531855
1016,2019,7,7,Canadian Grand Prix,2019-06-09,18:10:00,2025-03-26 20:53:56.531855
1017,2019,8,34,French Grand Prix,2019-06-23,13:10:00,2025-03-26 20:53:56.531855
1018,2019,9,70,Austrian Grand Prix,2019-06-30,13:10:00,2025-03-26 20:53:56.531855
1019,2019,10,9,British Grand Prix,2019-07-14,13:10:00,2025-03-26 20:53:56.531855
1020,2019,11,10,German Grand Prix,2019-07-28,13:10:00,2025-03-26 20:53:56.531855
1021,2019,12,11,Hungarian Grand Prix,2019-08-04,13:10:00,2025-03-26 20:53:56.531855
1022,2019,13,13,Belgian Grand Prix,2019-09-01,13:10:00,2025-03-26 20:53:56.531855
1023,2019,14,14,Italian Grand Prix,2019-09-08,13:10:00,2025-03-26 20:53:56.531855
1024,2019,15,15,Singapore Grand Prix,2019-09-22,12:10:00,2025-03-26 20:53:56.531855
1025,2019,16,71,Russian Grand Prix,2019-09-29,11:10:00,2025-03-26 20:53:56.531855
1026,2019,17,22,Japanese Grand Prix,2019-10-13,05:10:00,2025-03-26 20:53:56.531855
1027,2019,18,32,Mexican Grand Prix,2019-10-27,19:10:00,2025-03-26 20:53:56.531855
1028,2019,19,69,United States Grand Prix,2019-11-03,19:10:00,2025-03-26 20:53:56.531855
1029,2019,20,18,Brazilian Grand Prix,2019-11-17,17:10:00,2025-03-26 20:53:56.531855
1030,2019,21,24,Abu Dhabi Grand Prix,2019-12-01,13:10:00,2025-03-26 20:53:56.531855
1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,2025-03-26 20:53:56.531855
1032,2020,2,70,Styrian Grand Prix,2020-07-12,13:10:00,2025-03-26 20:53:56.531855
1033,2020,3,11,Hungarian Grand Prix,2020-07-19,13:10:00,2025-03-26 20:53:56.531855
1034,2020,4,9,British Grand Prix,2020-08-02,13:10:00,2025-03-26 20:53:56.531855
1035,2020,5,9,70th Anniversary Grand Prix,2020-08-09,13:10:00,2025-03-26 20:53:56.531855
1036,2020,6,4,Spanish Grand Prix,2020-08-16,13:10:00,2025-03-26 20:53:56.531855
1037,2020,7,13,Belgian Grand Prix,2020-08-30,13:10:00,2025-03-26 20:53:56.531855
1038,2020,8,14,Italian Grand Prix,2020-09-06,13:10:00,2025-03-26 20:53:56.531855
1039,2020,9,76,Tuscan Grand Prix,2020-09-13,13:10:00,2025-03-26 20:53:56.531855
1040,2020,10,71,Russian Grand Prix,2020-09-27,11:10:00,2025-03-26 20:53:56.531855
1041,2020,11,20,Eifel Grand Prix,2020-10-11,13:10:00,2025-03-26 20:53:56.531855
1042,2020,12,75,Portuguese Grand Prix,2020-10-25,12:10:00,2025-03-26 20:53:56.531855
1043,2020,13,21,Emilia Romagna Grand Prix,2020-11-01,12:10:00,2025-03-26 20:53:56.531855
1044,2020,14,5,Turkish Grand Prix,2020-11-15,10:10:00,2025-03-26 20:53:56.531855
1045,2020,15,3,Bahrain Grand Prix,2020-11-29,14:10:00,2025-03-26 20:53:56.531855
1046,2020,16,3,Sakhir Grand Prix,2020-12-06,17:10:00,2025-03-26 20:53:56.531855
1047,2020,17,24,Abu Dhabi Grand Prix,2020-12-13,13:10:00,2025-03-26 20:53:56.531855
1053,2021,2,21,Emilia Romagna Grand Prix,2021-04-18,13:00:00,2025-03-26 20:53:56.531855
1052,2021,1,3,Bahrain Grand Prix,2021-03-28,15:00:00,2025-03-26 20:53:56.531855
1051,2021,21,1,Australian Grand Prix,2021-11-21,06:00:00,2025-03-26 20:53:56.531855
1054,2021,3,20,TBC,2021-05-02,\N,2025-03-26 20:53:56.531855
1055,2021,4,4,Spanish Grand Prix,2021-05-09,13:00:00,2025-03-26 20:53:56.531855
1056,2021,5,6,Monaco Grand Prix,2021-05-23,13:00:00,2025-03-26 20:53:56.531855
1057,2021,6,73,Azerbaijan Grand Prix,2021-06-06,12:00:00,2025-03-26 20:53:56.531855
1058,2021,7,7,Canadian Grand Prix,2021-06-13,18:00:00,2025-03-26 20:53:56.531855
1059,2021,8,34,French Grand Prix,2021-06-27,13:00:00,2025-03-26 20:53:56.531855
1060,2021,9,70,Austrian Grand Prix,2021-07-04,13:00:00,2025-03-26 20:53:56.531855
1061,2021,10,9,British Grand Prix,2021-07-18,14:00:00,2025-03-26 20:53:56.531855
1062,2021,11,11,Hungarian Grand Prix,2021-08-01,13:00:00,2025-03-26 20:53:56.531855
1063,2021,12,13,Belgian Grand Prix,2021-08-29,13:00:00,2025-03-26 20:53:56.531855
1064,2021,13,39,Dutch Grand Prix,2021-09-05,13:00:00,2025-03-26 20:53:56.531855
1065,2021,14,14,Italian Grand Prix,2021-09-12,13:00:00,2025-03-26 20:53:56.531855
1066,2021,15,71,Russian Grand Prix,2021-09-26,12:00:00,2025-03-26 20:53:56.531855
1067,2021,16,15,Singapore Grand Prix,2021-10-03,12:00:00,2025-03-26 20:53:56.531855
1068,2021,17,22,Japanese Grand Prix,2021-10-10,05:00:00,2025-03-26 20:53:56.531855
1069,2021,18,69,United States Grand Prix,2021-10-24,19:00:00,2025-03-26 20:53:56.531855
1070,2021,19,32,Mexico City Grand Prix,2021-10-31,19:00:00,2025-03-26 20:53:56.531855
1071,2021,20,18,Brazilian Grand Prix,2021-11-07,17:00:00,2025-03-26 20:53:56.531855
1072,2021,22,77,Saudi Arabian Grand Prix,2021-12-05,16:00:00,2025-03-26 20:53:56.531855
1073,2021,23,24,Abu Dhabi Grand Prix,2021-12-12,13:00:00,2025-03-26 20:53:56.531855
